,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
SCRN3,-15.666935277928205,-16.18021473500261,-16.499177616157155,-15.475309347210933,-15.199627421731668,-15.330676684506344,-15.289439639323456,-15.607496535419592,-15.945257477861915,-15.733146171243625
LNPK,-14.229919409553867,-14.37135622235462,-14.18932235357037,-14.576686367586015,-13.658091298941635,-14.077975508309908,-13.72275761377946,-13.210092710656363,-14.11673794580627,-13.835260388896314
ZNF385B,0.0,0.0,-21.66910261759947,0.0,0.0,-22.9636718816493,0.0,-23.218521332726947,0.0,-19.37700236101835
TMEFF2,-23.0847877928141,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,-24.218521332726944,0.0,-18.31810867196478
CDCA7,-17.72723578819602,-16.577807099822046,-17.581639776349128,-17.849704861992432,-17.57107565246283,-17.471818785319627,-18.07402967024897,-16.750915782643947,-16.945257477861915,-16.1546099396819
DLX1,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,0.0,0.0,-19.50253324310221
UBR3,-13.8040170226835,-13.543537197737301,-13.147502177875742,-12.802075999034676,-12.819584726420082,-12.606119877031219,-12.524917547452844,-12.635908881459926,-12.855601535037659,-12.938210508440088
PHOSPHO2,-19.384348074673014,-19.470891895905535,-18.581639776349128,-17.960736174381175,-18.904499386188018,-18.60611987703122,-18.19776503867121,-18.574665142952217,-18.67395545604452,-19.1546099396819
GULP1,0.0,-21.27824681796314,-22.66910261759947,0.0,-22.548355575962745,0.0,-24.26385422912898,-22.218521332726944,-23.803238472989488,-19.055074266130987
FAM171B,-20.2774328707565,-20.693284317241982,-19.347174522712105,-18.797237442098293,-19.963393075241587,-19.9636718816493,-21.093929227686672,-20.311630737118424,-19.995883550931882,-18.1546099396819
HSPD1,-13.551458060508269,-13.090894744762643,-13.120280709140717,-12.681264878736705,-13.48765964427519,-13.08408863203652,-13.362233070782871,-13.552297329923766,-13.028451413388312,-12.28777259359382
CCDC150,-21.084787792814105,-19.577807099822046,-19.861747695541865,-19.6045923641559,-18.793468073799275,-18.678269662787052,-18.804422610491688,-18.63355883200579,-19.481310378102123,-17.3472550176243
METTL21A,-15.537893332926465,-15.564001300297017,-15.44028392710359,-14.67977986055012,-15.466206534608872,-15.111922840233245,-15.106507293766143,-15.320675876721433,-15.36861024535276,-15.001962929671425
UNC80,-22.084787792814105,-22.27824681796314,-22.66910261759947,-21.6045923641559,-21.96339307524159,-20.378709380928147,-20.263854229128984,-19.826203909948184,-20.34380685435219,-16.640036766852145
PTH2R,-18.83686027937052,-19.470891895905535,-20.084140116878313,-19.797237442098293,-18.50396145660429,-17.9636718816493,-19.61999803935426,-18.97059381928336,-19.995883550931882,-18.792039860297194
CPO,-23.0847877928141,0.0,0.0,0.0,0.0,0.0,-23.263854229128984,0.0,0.0,-21.377002361018352
NBEAL1,-15.271006601597065,-15.098337727948204,-15.201497067516472,-14.34249751878572,-14.230942962197876,-14.249426363983181,-14.077739989587343,-14.153778567976687,-14.23338286465854,-14.154609939681901
KANSL1L,-14.290371926463996,-14.383429054655196,-14.855321426382432,-13.650396053769024,-13.893719547434776,-13.904327420824877,-13.834447487615005,-14.023764478304695,-14.515526093440037,-14.052071777969463
SPAG16,-18.04039367345565,-19.577807099822046,-18.421175104155886,-19.019629863434744,-18.904499386188018,-17.834388864704337,-17.605642746377193,-17.633558832005786,-18.445686468371402,-16.853440404961336
ABCA12,0.0,-23.27824681796314,0.0,0.0,-21.96339307524159,-21.378709380928147,-21.67889172840783,-21.896593237839582,-22.21827597226833,-18.37700236101835
SUMF1,-14.762859697926741,-15.108321816520826,-14.065476272613276,-14.14106799088472,-15.12629080978993,-14.694545202499885,-14.67701444116716,-14.526777813555668,-14.572017292278302,-14.928541860202056
NYAP2,-23.0847877928141,-22.27824681796314,-22.66910261759947,-22.6045923641559,-21.96339307524159,-23.9636718816493,-21.263854229128984,-24.218521332726944,-22.803238472989488,-17.71403734829592
