,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
BCL2L2,BCL2L2,-0.19154367905981928,0.12525722832177055,0.414236435444233,False
ARHGAP6,ARHGAP6,-0.460874222018159,0.15156694829637046,0.44517136321206785,False
EFCAB7,EFCAB7,0.3732906616366414,0.06549844998036908,0.3166409273429229,False
SEMA6A,SEMA6A,0.4605669092210043,0.09494505678109783,0.3672315669197972,False
ZNF571,ZNF571,0.2814357926201083,0.17939108884651833,0.4794798309585079,False
PGBD4,PGBD4,0.07834277129554934,0.693332272016608,0.860962784647369,False
RBFA,RBFA,0.32816119201564575,0.007276313145122337,0.12495966257245283,False
C14orf80,C14orf80,0.01515528210885364,0.935698388692516,0.9778192602878767,False
EPM2A,EPM2A,0.4152669773177635,0.0002604910197652032,0.029843162230569847,True
AC009950.1,AC009950.1,0.08166491620871197,0.9677912256977633,0.9882282338698551,False
DCUN1D5,DCUN1D5,0.2968884394406395,0.00733133781501866,0.1254938461549605,False
SH3TC2,SH3TC2,-0.34013602389944353,0.23191665014837304,0.5362409609589712,False
ASPRV1,ASPRV1,-0.5734033454930376,0.1496150865355451,0.4420258965775211,False
MCM10,MCM10,1.1718065794256525,0.0004000546251037083,0.03385300952591299,True
SLC48A1,SLC48A1,-0.5107283059726804,0.023770826244634745,0.20934363858483243,False
TMEM234,TMEM234,-0.34137811022824494,0.011760930326979818,0.15508658971117062,False
FAM200A,FAM200A,0.001711265690552466,0.9925094701744979,0.9972615024936327,False
TTC12,TTC12,-0.06671518198161408,0.636871233212864,0.8312618570153825,False
RBM42,RBM42,0.012916906514259807,0.9563496911540648,0.9844003638689034,False
GPX7,GPX7,0.41133325428438994,0.010003301885254268,0.1444063564988472,False
RP4-583P15.15,RP4-583P15.15,0.2127423180196537,0.3991227559119106,0.6751768502536969,False
TMEM128,TMEM128,-0.044223237651120684,0.7513717425107054,0.8922752030517013,False
PIGQ,PIGQ,-0.1410379522694427,0.4631086328071221,0.7207651860049142,False
C1orf56,C1orf56,-0.15798830084985127,0.3573882114557466,0.6433478302976753,False
TBC1D13,TBC1D13,0.07977025361093837,0.7130745699865738,0.8729776528840414,False
IFT46,IFT46,0.10872644013829813,0.29936715796481994,0.5967758591895503,False
NR2C2AP,NR2C2AP,0.07186342382973976,0.7264680491550943,0.8784085318949534,False
IFI27L2,IFI27L2,-0.20217521056590115,0.0847716432479945,0.34963858751264526,False
NELFA,NELFA,0.01763103722838011,0.9053080003247612,0.9648955660139887,False
METTL18,METTL18,0.04068346877107487,0.8064285222311934,0.9197667917143383,False
OSBPL1A,OSBPL1A,-0.27761161348286123,0.12178178753720352,0.40993326568549965,False
BTBD8,BTBD8,0.3901852989150001,0.10153385931996758,0.3782019119078523,False
PUS7,PUS7,0.46622644686957315,0.0003441680872735493,0.03295292776270775,True
