,GSM4715947,GSM4715954,GSM4715956,GSM4715972,GSM4715975,GSM4715996,GSM4716002,GSM4716003
ACTG1,-9.840530163134105,-10.191593837213864,-9.63415595466162,-9.299620813320516,-10.003666549030358,-9.225315689679775,-8.891662546434963,-10.064050802150122
NCOA4,-10.196693515585075,-9.398611427021176,-10.127631785973717,-9.71965737706862,-9.878952748373,-9.438715533813955,-9.03965257737339,-8.297249978443153
MACF1,-10.942493190938698,-10.416890864693533,-9.679167070491077,-9.292089413966602,-8.716448568555943,-9.996765789764929,-9.66370070773111,-9.42945904128492
PARP14,-8.792779304023961,-8.110862565101007,-9.649400460207678,-10.062852787736857,-9.519877162802612,-10.638521859437851,-10.980787386281104,-10.293074302471961
ACSL1,-8.912205567412894,-7.618566312558083,-9.096048959621427,-8.891134443119,-9.581913073939164,-7.74462276802402,-8.04277288301929,-9.29636988383548
FLNA,-10.842241110439458,-12.36235610583822,-10.856461227788136,-8.907039448632595,-9.34915477869375,-8.85418308045126,-10.608145171267454,-9.917638320793095
EEF2,-9.935823419997751,-11.438977387441133,-10.18450244640211,-9.78494288926097,-10.154148282497848,-10.109174095070621,-9.324437107692926,-9.94720593060372
DDX5,-10.23086420603263,-10.401319261382609,-9.602606248728739,-9.442761554449724,-9.31512195336905,-10.650423329671726,-9.9358959287824,-9.759035736913477
CFLAR,-9.334384658171466,-9.012805062827857,-9.691220635902305,-9.217005893460179,-9.464782058006985,-9.156622725778302,-9.452317222431649,-9.971760811573215
MNDA,-8.413754223308056,-7.960165991767459,-9.279655328530268,-9.48219352046441,-9.693596938144475,-9.171740785065008,-9.010210598577977,-10.00606364626176
ATM,-10.489486990275402,-11.054668737084015,-9.344269092996766,-9.675603075175143,-9.140579699550756,-11.166830442445011,-9.95502832537108,-9.788742033522308
KIAA1551,-9.736295762082927,-9.184080218374428,-9.279553085871148,-9.305174777353828,-9.615990556726873,-10.424144639245544,-9.918869216410965,-10.353807096158068
TRIM22,-8.68654368980882,-7.922170363779177,-9.711076749337662,-10.499134943085217,-9.955812350514226,-9.466680812383412,-10.835800494439141,-9.751929967565966
VIM,-10.336966894480835,-10.332885680140572,-9.890720865165857,-9.285547746941917,-9.899132155925107,-8.584971685486455,-8.894290455825113,-9.664449383498916
CYBB,-10.187654238701397,-9.578887408898163,-9.557778114914587,-9.192686903269424,-9.881229233487398,-10.224138139587826,-9.956148517244186,-10.386915407970006
GAPDH,-10.238568870757664,-9.997944679629345,-9.379665795081468,-9.529474467308127,-10.025442144291544,-8.743005593795159,-8.28262933086593,-9.889659731358321
SRGN,-8.735159960543479,-8.46322493368781,-9.291255671360368,-9.961727672023857,-10.216153073468845,-7.890487106084605,-8.35384621405984,-9.279205802973392
IQGAP1,-10.6503910911463,-9.549198156797663,-9.771764063212855,-9.011225662384144,-9.622414004951757,-9.496067166149437,-9.147161605147181,-9.99656217207176
UBB,-8.446561913033497,-9.746815827408376,-10.522989080665369,-10.294349057263675,-10.779857637603792,-9.80821810805594,-10.31470593434621,-7.853772797939616
EPB41,-10.182072006729113,-10.295704518173476,-10.917835250128908,-10.236969570270384,-9.720033868887429,-10.060840270474381,-10.392030114996842,-9.169080421566308
ADAR,-9.17212420772608,-9.344564483085374,-10.19121846922832,-10.009546884588053,-9.839737663793915,-9.671400951620152,-10.488731650012774,-10.041202002925468
LYST,-10.579369757842828,-9.697488115044807,-9.47689418848506,-9.309738883011502,-9.289628000311378,-10.296274511506816,-9.93556446524484,-10.042861651011352
RPL13A,-10.066142477836856,-11.41298217890819,-9.491267065404191,-9.905045857747576,-9.800636716683709,-10.49306993082758,-9.63704716957419,-9.77657121989925
TMSB10,-9.074952309856297,-9.782679591290334,-9.431999283179712,-10.251080812655589,-10.386933573128145,-10.628274539233772,-9.667365395142381,-10.138199213330948
S100A8,-9.447212717960674,-8.631281845610754,-10.074336420552761,-8.283496055707689,-8.748942632851989,-8.051324219424968,-8.9080441250657,-8.144619762605751
ITM2B,-9.126884991799553,-8.914758946304671,-9.48689293032785,-10.345879357903756,-10.284668922131843,-9.239059190844662,-9.066317204882228,-10.175741354888679
FGL2,-9.027185478030315,-8.588884421960651,-9.402864300947437,-9.698555136548435,-10.136300818388774,-11.210211524215268,-10.219765766771335,-10.663881728547311
STAT1,-9.40650357333916,-9.249664687093954,-10.042064726368537,-11.24132260491364,-10.035790126397082,-10.534635211357758,-11.658129920781194,-10.51953235858807
FAM65B,-9.891243480330106,-9.893771427026861,-10.27434829494775,-9.628681121501298,-10.03736083427231,-9.24760783257601,-10.05541206422003,-9.885848555198274
AKAP13,-10.288511097234084,-10.041634529976552,-10.28971042321283,-9.28222331464841,-9.666887465198448,-9.77058002996666,-10.395217051111988,-10.367375221574362
UTRN,-10.30628097960895,-10.360472937523728,-10.12322155696532,-9.87761649379855,-9.36697071488262,-11.365124759331309,-11.041553674720978,-10.137016999355298
MBNL1,-10.35151345673441,-10.501518853509845,-9.89698121363496,-10.087057642637019,-9.75628612325858,-10.5109878991933,-10.134869181801664,-10.119204514926741
SAMD9L,-8.651890662932693,-8.135689746205564,-10.018155432723315,-10.669949874207688,-9.987109984237797,-11.146858570760957,-11.673524678575493,-10.087647910493816
STK17B,-9.851441611675055,-9.405584724898286,-9.422034003086916,-9.977491951923735,-10.1693020894217,-9.668016850589854,-9.268958370986702,-9.720453906092551
ITGB2,-10.620722403741267,-10.70153494810751,-10.527838480326764,-9.859744459533589,-10.150482630694116,-8.938524667280731,-10.065773008418684,-10.441813654118905
IFIT2,-6.635162650003415,-6.590897683959942,-10.240320416225234,-11.068642875940371,-10.552244899257325,-11.022009652783812,-12.301689909041395,-10.503954829160227
FCN1,-9.837723718646082,-9.59784151188399,-9.848401033189898,-9.309123642496147,-10.190385133548572,-9.385091416884254,-9.401001844296092,-10.688783540816383
YWHAZ,-10.067428366049542,-10.604289570115073,-9.86963661653587,-10.043937958681116,-10.09356723675994,-9.926876608787206,-9.69057625731068,-10.154254651179732
SETX,-10.189208699622055,-9.72339256235342,-9.838727609560381,-9.964769874905151,-9.734464839850146,-10.721568561328606,-10.306396446392341,-10.505479608277913
H3F3B,-8.992573969848078,-9.055887229589631,-9.95752275557001,-10.037226719205265,-10.563168548293563,-9.272953036423306,-9.4319922641363,-9.944445781411428
SF3B1,-10.63378618404222,-10.311262258095399,-9.68321882855836,-9.984842477531545,-9.57856677374186,-10.702858204464768,-9.865801299092597,-10.287816980987339
OAZ1,-9.512848638240792,-10.060465764187404,-10.604397939775346,-10.30473668101543,-10.769780095643481,-8.846210138981947,-9.540046815033387,-8.64891968520531
FAM46C,-10.584269943841807,-11.32882953805666,-11.69285356764527,-9.980217777243247,-10.094321587125304,-10.50065393273688,-10.69057625731068,-8.80899618425297
FCGR2A,-9.1627025548709,-8.71434515379296,-9.72953306226247,-9.776353036350045,-10.360377344934337,-9.17489725383583,-8.866801616832769,-9.945480218626555
FCGR3A,-7.996004794466918,-7.977812541334953,-9.81053363337743,-9.657422451136208,-9.969356726774027,-9.763910138100803,-10.735838762647171,-10.200225524048289
BNIP3L,-10.536990619182731,-10.446149042843388,-11.744978120189911,-10.317495800555694,-9.85563704270726,-11.187847696702882,-11.132081364430045,-8.86384230775126
