,GSM4715947,GSM4715954,GSM4715956,GSM4715972,GSM4715975,GSM4715996,GSM4716002,GSM4716003
SPTB,-14.23150469218783,-13.29031663051872,-15.548385857730851,-14.074904453581679,-13.434218750006695,-12.681870547561507,-13.737956551170491,-13.239228112233981
SEPT11,-14.810075090999392,-14.75693658012555,-13.639919407196793,-13.847568664002761,-13.61581002803479,-14.475994563523043,-13.731804324188897,-14.495849779523173
INTS10,-14.340589807698173,-14.749031382040203,-13.47537106043263,-13.86090330250437,-13.795516050269688,-14.51642298943205,-13.838483427124455,-13.914934111864717
CD86,-13.974033109657741,-13.676016584741983,-13.307529373490805,-13.684580529863908,-13.825263393663741,-15.503666982007598,-14.040365195338431,-14.640239688858347
PURA,-14.310504081508883,-14.628106599780597,-13.582286264349142,-13.987933867717958,-13.40397774671972,-15.202202989679952,-14.209577578815702,-14.413387619331196
DNMT3A,-14.574079937917952,-14.470315353974142,-14.256730773957289,-13.773925482284282,-13.63763639048797,-14.370325748488277,-14.398867905124947,-13.877597960591745
CST3,-12.862684250348464,-13.825939367745987,-13.984600912188078,-13.534037284801341,-14.390326336947194,-14.093081267299837,-14.49718560051919,-14.964402788129018
NFATC2,-14.554714613051022,-15.664818378137118,-13.934802679069927,-13.656583691181057,-13.507348361283004,-14.86877925595476,-14.677583933191011,-13.739615851652186
GPR183,-14.283687416463698,-14.889691788977322,-13.277816068366429,-13.937074982989776,-13.737800552413402,-15.304685947281202,-13.527503743145568,-13.798210505563034
UFM1,-14.191076266278822,-14.679768719603091,-13.142244758940404,-13.824274380513648,-13.5787427014344,-15.218785873875555,-14.034674083260574,-14.149081556261356
FOXJ3,-14.668056086126965,-14.97011047143262,-13.904214359236505,-13.7719863757546,-13.550863668858964,-14.261096678733518,-14.355655838303647,-13.685611196619654
PSMA3,-13.763016286206389,-14.040729546126142,-13.258341823863276,-14.379899662368315,-13.939905959604863,-15.068451600791123,-14.008408428566767,-13.841203723331345
NLRP3,-14.324101684909603,-13.483371506799587,-13.91180085370831,-13.703859592358791,-14.27408920639887,-12.425196659218846,-13.671683331751327,-14.38317300628419
RNPC3,-14.18610145086353,-14.187915623273417,-13.669623001404577,-13.80036176056932,-13.16019071797932,-14.7495322557761,-14.161238044544245,-13.644713165437652
DAP3,-14.265207995856038,-14.543632031617062,-13.427461075471244,-14.079693487160625,-13.886663938327885,-14.386627560817379,-13.557112329839132,-13.964402788129018
SLC25A24,-14.183620461359775,-13.776891186501194,-13.576245662191841,-13.167456171504817,-13.850530152274171,-13.825277617318172,-13.26958488817998,-13.547269870847979
NPL,-14.142083611479274,-14.13544820337928,-13.608758475710333,-13.42185013731559,-13.61004500521503,-13.131813661788554,-12.813905404403789,-13.36829972980266
IRF2,-13.142083611479272,-13.000288620097644,-14.136307733932552,-13.914439781388433,-14.218207122091968,-13.725636139429936,-14.213858576143577,-14.184467154997252
MED17,-14.294354341515554,-14.035912529828366,-13.54444944317168,-14.19447131294761,-13.779250995906906,-14.368011882650032,-13.856777211664797,-14.024345328585298
GOLGA8B,-15.208624467489669,-15.27604653355208,-14.089671106209366,-14.7140619141751,-12.583677407093981,-14.984529117246032,-14.372307078853812,-13.144322799750219
FAM20B,-14.281032963017719,-14.550485702658122,-13.722011028015755,-14.147207487661014,-13.780869274305287,-14.606290189398253,-14.132587839787497,-14.105265323968865
RIPK1,-13.823531371478822,-13.653706423016896,-14.118641859636982,-14.22597818930939,-13.780869274305287,-14.278374670165356,-14.132587839787497,-14.254530854845086
RPS6KA5,-14.710284321516264,-13.631736023181288,-13.844917175552734,-14.154767478973856,-13.66875890798375,-15.161561005182604,-14.257382089207466,-13.961609573237336
LYSMD3,-13.772306048123646,-14.31636398873957,-13.199899551360613,-13.741309976612204,-13.702099983098671,-14.90522125192282,-13.930601629112887,-13.978450562614649
PIM2,-12.819673895809307,-15.59230587835275,-14.172301992796584,-14.258188532805596,-14.227004070329127,-14.544889644734111,-14.15917262537846,-14.448153037491874
BBIP1,-14.307799872580505,-14.557372088243364,-14.086805772514978,-13.76232974638884,-13.062481507693397,-14.852514201591974,-14.719578021855636,-13.780873189130023
CACYBP,-12.460103183494306,-14.193268857767624,-13.206104700887323,-13.097795293535935,-14.048769435310899,-15.598131666011088,-13.845108903939497,-14.375717201365141
KBTBD7,-14.154176683467293,-13.225812231031945,-13.783314925884289,-13.408232568600521,-14.01029528749626,-12.249869423310267,-13.065289450498659,-13.576886351614078
MAP2K1,-14.122943098012376,-14.16669913736372,-14.072563849939199,-13.567280576837154,-13.995188395106055,-13.618615138935013,-13.959065093236582,-14.271726470107607
CLPX,-14.929703951689797,-14.46383132040394,-13.521053875759657,-13.95236485401437,-13.734660844882834,-14.417399909612195,-13.828601915610491,-14.027262811967594
PDCD11,-14.746443984811682,-14.95184826503989,-13.767169489135604,-13.711272299949398,-13.472933820235827,-14.980988759540784,-14.203179807617552,-14.285632072132826
ZNF721,-14.69961082000181,-14.95184826503989,-13.471628658746813,-13.829306457610032,-13.323942207299822,-15.185808551429282,-14.353292700935166,-14.056766806277677
TBRG1,-14.289011020441244,-14.444552257909058,-13.760304947837792,-13.82527939277365,-13.445724575606283,-14.282726694705062,-14.209577578815702,-13.867105586774102
GTF3C1,-14.82546398401282,-15.104859883545858,-14.098301411352807,-13.532395059193295,-13.453446422984019,-13.973934002006835,-14.450974335391054,-13.931235924193818
RNF38,-13.99563074415547,-15.035912529828366,-14.33276666498983,-13.78366030357191,-13.59004693196971,-13.959927144012955,-14.112466243866725,-13.730077337296589
GID8,-14.440717842185716,-14.749031382040203,-14.01969157665644,-14.02094371501484,-13.969126098519856,-13.815786168340875,-13.828601915610491,-13.783337229081503
MICAL1,-14.34335624198955,-14.209448784823056,-14.760304947837792,-13.82527939277365,-13.655338392221429,-12.48913566321111,-14.148889652116598,-13.335385107329925
SUPT5H,-14.574079937917952,-14.788997789357849,-14.38109111233321,-13.618627456837375,-13.644985846223513,-14.169598324248023,-14.481616797910705,-14.424883258169029
RPRD1A,-14.551512181012678,-14.339918716718465,-13.384605596509447,-13.955662444114944,-13.522159173068035,-14.789227956858,-13.742587999902137,-13.9095408530945
TMEM230,-13.969752112329866,-14.34586798304965,-13.310868946835939,-14.105100094159168,-14.246995545516592,-14.083558493181332,-13.169529418175635,-13.856688970828763
DRAM2,-13.925552308419329,-13.6948756119933,-13.680381403540842,-13.924097128991566,-13.557783082798755,-14.560656960592427,-13.941209728678869,-13.758884185356965
IMPAD1,-14.574079937917952,-14.93381434220963,-13.648343927724804,-13.894261899450802,-13.78248936997345,-14.87205438798762,-13.91483431325457,-14.041939388600037
SOCS4,-14.108752540577276,-14.5852511208188,-13.268046087185123,-13.82527939277365,-13.691407646928951,-15.110382281257042,-13.870229011133407,-14.015628111484189
NRBF2,-12.642277644935861,-12.538513060992047,-13.379337075593268,-13.377686373709897,-14.02748179831294,-13.181738887120236,-13.196810282741824,-13.880233020759714
TSPAN5,-13.574079937917952,-13.851103291300074,-15.133348358452007,-13.911234978054518,-13.9783801074195,-13.681870547561507,-14.136646056361851,-12.850216573068955
MAP2K3,-14.07847695733544,-14.672274183056166,-15.282725982490234,-13.964493045768567,-14.01981806161477,-12.334871291809556,-14.163306424885473,-12.32278507055029
AFF3,-15.510514809140487,-15.114984100819566,-14.187568749449893,-13.628242545714096,-13.147608995438953,-14.118138724891477,-14.654124960367021,-12.852802048744604
SH2D3C,-13.764869459281867,-14.351841884094284,-14.564239808931688,-13.495930732904357,-13.712872156117548,-13.489764425496455,-14.224616978279844,-13.901488580799766
PDLIM5,-13.986952853083475,-13.993268192419873,-13.869328841592646,-13.643229430070454,-13.805363836226036,-14.00236241033335,-13.978964650674287,-13.77841335044222
IL1B,-12.105226603895396,-12.758919666404653,-13.644125518167003,-13.638805338775004,-13.877978210461661,-14.6338233731544,-13.592906218367208,-14.030186207174358
SIGLEC9,-13.417211089301086,-13.077379147123748,-13.85951455176569,-13.402221330566658,-13.9783801074195,-12.26809092533641,-13.01399666682905,-13.557777528666374
NEPRO,-14.491978857703057,-14.942803125436884,-13.466033195853294,-14.111215809298256,-13.545351933249941,-15.278374670165356,-13.791337647498516,-14.024345328585298
MORF4L2,-13.361468537374089,-14.171974079404395,-13.187568749449893,-13.64145816521826,-14.137207399978482,-15.042389304204928,-13.57214765820041,-14.299673010610523
R3HCC1L,-14.080783424718609,-13.974712373391627,-13.482885114089935,-13.945792200090883,-13.507348361283004,-14.636605813825724,-13.950109788002102,-14.09911309698727
FAM168B,-14.841018798207662,-15.198642029866473,-13.934802679069927,-13.591870156049135,-13.488715509503601,-14.609019982153825,-13.861806949615431,-14.317418560800476
CD4,-14.554714613051022,-15.287451296824331,-14.101189690677634,-13.622116442917255,-13.871067083276866,-14.670420526817969,-14.108475383670692,-13.885517623887983
CCDC117,-12.895804965025278,-14.924881217439623,-13.52881031939409,-13.368867018435147,-14.002722067791462,-14.988078184327104,-14.034674083260574,-14.37200369856608
WDR45,-13.302406613810286,-13.825939367745987,-14.292596226514295,-14.511214514416396,-14.290132048894591,-12.947781714150866,-13.36039375731031,-13.07024303853414
HLA-DMA,-14.31321336876687,-14.425527432227303,-13.699951041006843,-13.915509633154842,-13.92730592282523,-14.342801319852752,-13.190468755867997,-13.751628369354165
LPIN1,-14.283687416463698,-14.764885333241041,-13.676068410669759,-14.07370967501162,-13.729964058181436,-15.340531146227923,-14.136646056361851,-14.247709588989073
SAMD3,-14.574079937917952,-14.821787724475518,-13.204550909632239,-13.745109044089666,-13.734660844882834,-16.26970980903823,-14.078890716607745,-14.257953620485875
UTP6,-14.234069484047131,-14.375987971425987,-13.509496844337257,-14.102661048707752,-13.881446229056866,-14.875336971976921,-13.991772426974906,-14.004086489601498
SUN1,-14.794848616774736,-14.679768719603091,-14.121571190675652,-13.743208259834615,-13.450867878882242,-14.991636003740293,-14.184154981935794,-13.783337229081503
DGKZ,-14.193570121767381,-14.97011047143262,-14.755746665875487,-13.717789810411855,-13.674763890809079,-13.53188058417225,-14.870229011133407,-13.622483218054189
LNPK,-14.23921278732309,-14.270377783465388,-13.6653420040767,-13.690978301062058,-13.57312362893324,-14.289279446504228,-13.671683331751327,-12.775957698715906
PACS1,-14.81390695259042,-15.242363407295791,-14.505664982746229,-13.694646949042504,-13.518104758106718,-13.167584792810374,-14.526172229400023,-13.485782083112973
NIPA2,-14.083093585405809,-14.503179987879768,-13.503752861802452,-14.02786866450703,-14.116626522556029,-13.906899780373816,-13.612554119876094,-14.194270330027612
BMS1,-14.925552308419329,-14.657400906574635,-13.486656867979145,-13.77781153188207,-13.642041569607972,-15.728601597906499,-14.06335683796466,-14.553565277379459
IDH1,-14.22129087932583,-13.460600199140927,-13.30586248128817,-13.430235706736255,-13.879711177686117,-13.775363188783743,-13.522185045726587,-14.467835403353574
ANKH,-14.620302954678598,-14.310534909937372,-14.309198193851424,-14.16236729483202,-13.921939413075414,-14.02588021703949,-14.339194591604478,-13.195910688408867
CPT1A,-14.779781168685794,-14.530021600098408,-13.60670481694236,-13.079093987862203,-13.453446422984019,-13.687629816850192,-13.698428186983852,-14.139579688494202
ZNF410,-13.713859775740092,-13.797125670241249,-13.400527591797621,-14.231296886728373,-14.088297799497536,-13.911947115111133,-13.71501973989333,-13.644713165437652
CLNS1A,-14.38550222957375,-14.91600306609317,-13.496129620599428,-13.712201572149572,-13.620148963759128,-15.25680932033042,-14.114465821513074,-13.939456430998785
RANBP9,-14.449632566993465,-14.322216714985005,-13.894160694572582,-13.591870156049135,-13.608607341876438,-13.814210313415336,-14.044171780768165,-13.549365288850172
TLR7,-13.145700901399946,-13.95184826503989,-13.94255217867486,-14.461927576690925,-14.092310862004158,-16.145619461313583,-14.863487433254349,-13.964402788129018
AP1M1,-14.538773069182,-14.75693658012555,-14.471628658746813,-13.854733535264163,-14.050720341681059,-13.587324911054507,-14.084759314696882,-14.004086489601498
PPP1R21,-14.346127991239603,-14.177268379073908,-13.906738760652052,-13.851658518027063,-13.59288688375467,-14.33600148774741,-13.751895742128363,-13.818283108189428
PRKAR2A,-14.583860958710538,-14.855340284186545,-13.758024006586552,-13.760406152716012,-13.959931070319723,-13.038704257397072,-13.343878670527294,-14.139579688494202
PPP6R1,-14.305100722979548,-15.145790147600739,-14.914338576510213,-13.812268527253496,-13.936294706052486,-13.18886835117834,-14.759698330324557,-14.03605082923758
RNF115,-14.470650348262547,-14.236825223754362,-13.864413351178529,-14.092945893874537,-13.756783655780975,-14.587324911054507,-14.136646056361851,-14.149081556261356
NPTN,-13.761165490518449,-13.617272793869326,-13.916880771072666,-13.8578151207168,-13.94171498183674,-12.632434162608067,-13.595696731888836,-13.92578149410171
IL27RA,-14.289011020441244,-14.830102992687522,-13.987270098964064,-13.71313144330061,-13.98769385855913,-14.521557140903488,-13.888932449811813,-14.171499022368954
RAB8A,-13.07272686984755,-14.29894693566216,-14.14820631717912,-13.877486186699976,-14.177138872252213,-13.828455360983758,-14.734877158238518,-14.171499022368954
PLXNB2,-14.324101684909603,-15.889691788977322,-15.1452224587403,-12.92841012186265,-13.2729500866864,-14.267551700870818,-15.228942903682634,-13.836078691153476
ZC3H6,-14.938043252602528,-14.536810765761047,-13.804342432324113,-13.461927576690925,-13.188907306399768,-14.687629816850192,-14.471330158673666,-13.912234962263762
MRE11,-14.95064328938216,-14.741169264267233,-13.409449667486925,-13.917651719726383,-13.200772528755948,-15.125937095451883,-14.203179807617552,-13.950490481273762
SLCO3A1,-13.940135631563766,-14.021557236851294,-13.881691342610363,-13.468193363047664,-13.679284087846462,-13.38545701710944,-13.818787625783537,-13.947724046982387
DNAJB2,-13.519872863838721,-13.859589757187903,-14.517191236127259,-14.199674907555147,-14.47948855682201,-13.743521017742237,-14.293171708497596,-13.699505638278032
MFSD6,-14.829336993160029,-15.01680370688066,-13.54444944317168,-13.874362342013098,-13.795516050269688,-14.501129259205698,-14.207441834471712,-13.989788106548929
PHTF2,-14.417211089301086,-14.979329001461998,-13.733168817900276,-14.064186900893114,-13.29128482166139,-14.901870042423182,-14.201053506509163,-13.761310922751504
TRAT1,-14.17373894984581,-15.620875030549522,-13.282725982490234,-14.409739299850676,-13.5167558145387,-16.734550864237686,-13.524841943422054,-13.576886351614078
PIK3CB,-15.20358887759237,-14.71783676043661,-13.963423357009695,-13.675489793793052,-13.447008683426608,-12.911104665428281,-13.39521705111199,-13.77841335044222
TAPT1,-14.431857865265487,-14.741169264267233,-13.499936206029162,-13.873322561758439,-13.686849364966646,-14.384287422362862,-14.049900557485232,-13.317418560800476
RAB5C,-13.620302954678598,-14.045562699862085,-14.151196359784931,-13.798386818384262,-14.231422741596132,-13.247209096093426,-13.877002239728833,-14.001215453746743
CFAP97,-14.470650348262547,-14.75693658012555,-13.2014483384561,-14.212766603933508,-13.795516050269688,-15.642186846089025,-13.662877434375984,-14.068739447943752
ZXDC,-14.5904186747327,-14.805299601686949,-14.145222458740298,-13.830314982670949,-13.649413558264323,-13.687629816850192,-14.304540522576794,-13.720601473733543
ATAD1,-14.326836652630842,-14.287451296824331,-13.427461075471244,-13.94797975932865,-13.659798040412129,-15.046083787762669,-13.809039649231975,-13.989788106548929
TFDP2,-14.623661966768513,-14.578230693141027,-13.927094583934664,-14.271824693310982,-13.785735029477104,-14.922095070487215,-14.350933428061245,-13.594087092367687
F5,-15.183620461359775,-13.72169940006901,-13.85951455176569,-12.208170984445143,-13.332223382383624,-12.27783158902177,-12.759698330324559,-13.53683819097401
PARG,-14.564364783084741,-14.339918716718465,-13.554310691687956,-13.828298637072445,-13.559170956922998,-14.670420526817969,-14.019606635171632,-14.056766806277677
RAP2A,-14.428916589953365,-14.606519737572452,-13.719789788099076,-13.696484777368603,-13.56752635696215,-15.498595992460176,-13.944763166536623,-14.07174819781609
ASH2L,-13.913168583963497,-14.040729546126142,-14.269669829664787,-13.794445026202888,-13.614366611165122,-14.320258751201662,-14.152994050449335,-13.649200556429967
CSNK1D,-13.728250868045713,-14.231308218786797,-14.494230087683947,-14.122289855456684,-14.056588939770197,-12.702129386545307,-14.284140724135154,-13.933970891915056
ZNF592,-14.507408898272663,-14.91600306609317,-14.15419261224485,-13.503954641468324,-13.59430895882387,-13.252534665230096,-14.231110740365345,-13.538918501415058
UNC119,-13.827399188918532,-14.094806218881935,-13.958177187443736,-13.869170918487972,-13.584383744949408,-13.491022772755375,-13.668742056439202,-13.744408862841084
CYB5B,-14.183620461359775,-14.5852511208188,-13.286008566479534,-14.065373815843557,-13.9728205820776,-14.521557140903488,-13.815530976452832,-14.475784156469066
SGMS1,-14.265207995856038,-14.29894693566216,-13.554310691687956,-13.822266453897404,-13.658309958752719,-14.631046288483825,-14.132587839787497,-13.970005494358393
LIG3,-14.69961082000181,-14.635374600244639,-13.73765620889259,-14.122289855456684,-13.737800552413402,-14.498595992460176,-14.059499362295144,-14.09911309698727
TNFAIP8L2,-13.954867875243886,-13.752978566556866,-13.719789788099076,-14.150982531352394,-14.27408920639887,-13.453741756675914,-13.2629160240361,-13.746811353056389
CTAGE5,-14.664592230823395,-14.182582178970375,-13.90926758696279,-13.964493045768567,-13.537123612232664,-14.068451600791123,-13.90268888339248,-14.074763235571524
COG3,-14.265207995856038,-14.304729288256166,-13.536608689954498,-14.02440203478725,-13.56056016746933,-14.45865724709003,-13.913092979258147,-13.94220704201482
SLC43A2,-13.613608302104591,-14.065058875487882,-14.398749778829716,-13.388786928917508,-14.242528993834702,-13.184790058594261,-13.833534211152724,-14.275190325411177
EMSY,-14.423051967890146,-14.369913457016304,-14.000690614726384,-13.982318076115998,-13.350130460121576,-14.563301681847992,-14.102509716834302,-13.975630043552272
MMS19,-14.5708342784143,-15.220337100965793,-13.919427453183012,-13.960070988541268,-13.607171109760918,-14.473505011497345,-13.671683331751327,-13.83863893147204
RGS19,-13.230224004095838,-14.177268379073908,-14.637820941312796,-13.676396294005652,-14.006503708333888,-12.657646950634478,-14.01399666682905,-13.428735583664634
ITM2A,-14.07157959738877,-15.536810765761047,-13.118641859636982,-14.35211248226862,-14.006503708333888,-15.560656960592427,-13.149914657517362,-13.596251676481007
P2RY8,-14.428916589953365,-15.444552257909058,-14.286008566479536,-14.002638060495594,-14.078313710924913,-13.8918628690678,-14.420969197553399,-13.665017261892743
ODF2L,-14.428916589953365,-14.287451296824331,-13.874261137134877,-14.119821599865935,-13.445724575606283,-14.922095070487215,-14.563927151395443,-13.631334135636454
RNF138,-13.761165490518449,-13.737254214263851,-13.654694759877192,-14.220679028013095,-13.821927681100483,-14.792327195516886,-14.155050636743272,-13.5641190555402
CD3D,-14.278383384603769,-15.75693658012555,-13.22961464603067,-14.267720294978247,-13.662778816350368,-15.90522125192282,-13.505033462341872,-14.210758452816181
CORO1B,-14.151749946072753,-15.16669913736372,-14.416627269559973,-14.455688885711169,-13.700567646214427,-13.906899780373816,-14.23328183940697,-13.880233020759714
AES,-13.585497595347645,-15.29894693566216,-14.199899551360613,-13.968928698888819,-14.205111464480286,-14.189889728241099,-14.297708489094367,-13.704167015647895
TRIM52,-14.06699960928551,-14.613679529145317,-13.642020929842081,-14.19837224828751,-13.577335880220154,-14.895190886785555,-14.277404392639278,-13.88287290263242
CD3G,-14.337828668021116,-15.444552257909058,-13.47537106043263,-14.286974852058192,-14.249234017712594,-16.053501259325152,-13.989935768495288,-14.004086489601498
TIFA,-13.35308075188137,-12.592305878352752,-13.84008402181679,-14.365208139880302,-14.420279559048819,-13.809493050223246,-13.758134433108122,-13.576886351614078
LEMD2,-13.963354341131714,-14.536810765761047,-14.139273192409112,-14.15856238262859,-13.860762074885127,-13.591367963791788,-14.211716489572037,-14.015628111484189
NDUFA9,-13.697839555149619,-13.687302392288498,-13.503752861802452,-14.540624944836102,-14.03132898736846,-14.801665060096221,-13.86348743325435,-14.044892705989385
ZMAT3,-14.564364783084741,-15.055277854695298,-13.79262266811052,-14.002638060495594,-13.62886618086024,-14.952974383371187,-13.778598535667836,-13.984108197476575
DEDD2,-12.39982901107285,-14.187915623273417,-14.580269918750638,-13.747012335976388,-14.271811865687802,-13.437881101766623,-14.051815216081966,-14.142740029387529
EDEM2,-13.394081214462531,-13.060160076075041,-13.780997342990892,-14.17384261416448,-14.49268805457687,-13.322497223397663,-13.401306950576362,-14.114543137556877
ID2,-14.087725034137456,-14.270377783465388,-13.325993436394404,-14.323429727564534,-14.002722067791462,-14.581951738955656,-13.563927151395443,-14.296149944046823
NOL11,-14.376973958192362,-14.846878705438348,-13.409449667486925,-14.119821599865935,-13.895402275405583,-15.331486006624917,-13.762831219809522,-14.19099519799475
UBE3B,-14.046567709380694,-14.357840624715726,-14.098301411352807,-13.927330664243348,-13.800431540683807,-13.684747308317071,-14.418496711873878,-13.810723116876582
RBM10,-14.36287125507418,-14.476828660932814,-14.115718464430216,-13.54227657070726,-13.914814978642033,-14.1416614477449,-14.222458870112435,-14.43647123244424
BRK1,-13.92762663665719,-14.71783676043661,-13.818532989759213,-14.113669372884337,-14.147608995438953,-13.860623807211216,-13.602696721560019,-13.71588677986149
ENDOD1,-13.54035932007395,-14.476828660932814,-14.23753720872398,-14.784637408276305,-14.160190717979322,-13.654823671766952,-13.991772426974906,-14.050817539946491
BAG5,-14.357268548844804,-15.035912529828366,-13.574237735575597,-14.04884521396404,-13.902431254186203,-14.625508104942394,-14.067224655404372,-14.303204701580777
C3orf38,-13.150538106403944,-13.540217367204297,-13.519121263225658,-14.227306026532338,-14.052673889766812,-14.826865614221365,-13.916577751582622,-13.846347026607305
TADA2B,-14.262587295696902,-14.41298217890819,-13.950343529965707,-13.920870824909258,-13.884922604331459,-13.041467159692298,-13.695431934523935,-14.050817539946491
UPP1,-13.694303536122375,-12.9360562929963,-14.038946133736385,-13.940337769998775,-14.040992084719178,-11.793879315129628,-13.066256728470453,-13.215741860330436
EIF2B5,-14.437758466705171,-14.960950472147145,-13.916880771072666,-14.119821599865935,-13.685333132519265,-14.696312059949994,-14.030892442718146,-14.139579688494202
HCG27,-12.376973958192362,-12.26051075400605,-13.488546449180363,-13.615146888102414,-14.050720341681059,-13.198086881207718,-14.06335683796466,-13.818283108189428
SRSF8,-14.564364783084741,-14.564291502183154,-13.963423357009695,-14.27456746037452,-13.907725553855714,-14.555382018551754,-13.921820743570677,-14.089933670212876
ZER1,-14.006552030532816,-14.741169264267233,-15.564239808931688,-14.033664956116219,-14.084295868940037,-13.01951069216376,-13.955476297751918,-13.094516082877174
PAPSS1,-14.802441766096967,-14.71014236864661,-14.008803260513703,-13.929490387761785,-14.014096857656117,-14.181738887120236,-12.840136945976969,-13.528546817342617
PSMC2,-14.115830371817811,-14.328093281321676,-13.209217312754657,-13.812268527253496,-14.096335118562955,-14.740524765282318,-13.495881763972346,-14.342634846409311
KDM1B,-13.915225170257434,-14.231308218786797,-14.266424170161132,-13.327695955535562,-13.588629049751514,-13.989855997295008,-14.608321270753894,-13.904167680995647
MARCH2,-13.909064185630761,-14.536810765761047,-14.90926758696279,-14.51445288848294,-14.57452634663333,-12.63174005865391,-13.569402281461594,-12.965801426184163
ABCF1,-14.654250286601936,-15.094806218881935,-13.758024006586552,-13.788552458279687,-13.726841340423535,-15.269709809038227,-14.163306424885473,-14.76617667792332
UBE2G1,-14.275738663348205,-14.788997789357849,-13.462314907607182,-13.935989025060527,-13.930894718309894,-13.850897736391058,-13.686480333679407,-14.155451081137084
KNTC1,-14.485852754906217,-14.772878123994571,-13.51141659850062,-13.793461258663312,-13.450867878882242,-15.291470327777038,-14.205309247178898,-14.050817539946491
ITPK1,-12.907016356981902,-13.745094967481034,-14.490438508521573,-13.609941728971155,-14.249234017712594,-13.269709809038227,-14.59709401533064,-14.282143086052946
ERC1,-14.954867875243886,-14.881026927850195,-13.958177187443736,-13.642343525811183,-13.314535849342752,-14.86551154212085,-14.611141789816275,-14.03605082923758
CD274,-12.051648620665587,-10.767877442936205,-13.760304947837792,-15.632634314831254,-13.531664021834873,-13.815786168340875,-14.957269579574968,-15.708843502857372
ZNF646,-13.620302954678598,-14.236825223754362,-14.398749778829716,-14.197070764174988,-14.283234688947921,-13.555382018551752,-14.140715720670897,-13.920347608051081
CLEC2B,-13.611939481743972,-13.077379147123748,-13.778683477152645,-13.125381125207834,-13.241414513253293,-15.722676763949394,-14.986269451297519,-14.491814266288014
NOD2,-13.524574752979024,-15.33399388276136,-14.420229506240169,-13.454133419209127,-13.989563845912176,-14.254670409574087,-14.435893762108414,-13.687917664002823
PRKD2,-13.27046372130753,-14.09982429364856,-14.864413351178529,-14.176405128232302,-14.258222800939846,-13.600846050708125,-15.336858242849523,-13.912234962263762
TBC1D20,-13.856743150500678,-13.733349759807933,-14.133348358452007,-14.010618219354152,-13.867623895387387,-13.687629816850192,-14.144796897482715,-13.978450562614649
ZNF791,-13.79106697623231,-13.993268192419873,-13.310868946835939,-14.27456746037452,-13.92730592282523,-14.901870042423182,-14.084759314696882,-13.846347026607305
GAB2,-13.037578926153442,-13.467069694470487,-14.136307733932552,-13.059448981886451,-13.965441051712002,-13.047008888814494,-14.213858576143577,-14.089933670212876
PABPN1,-14.46762899628731,-15.125179867925452,-13.881691342610363,-13.64589041153352,-13.47948855682201,-14.44396073588333,-14.259593116522819,-14.532686547703541
ARHGEF7,-14.696070462296563,-15.357840624715728,-13.927094583934664,-13.955662444114944,-13.424067819538529,-13.988078184327104,-14.379502580258015,-13.239228112233981
PHF10,-14.841018798207662,-14.979329001461998,-13.63363314434936,-13.884801570201736,-13.329852477920879,-15.349633353335177,-14.120481236930845,-13.914934111864717
NUDT16,-14.02419989635224,-12.947318606559376,-13.876733622814395,-13.426418040997305,-13.739372972232154,-12.810278190400929,-14.171609728616682,-14.609307829306456
ERCC6,-14.706717706496072,-14.161443411912224,-13.648343927724804,-13.863998108927237,-13.400241805812277,-14.773830851899497,-14.268471267869272,-14.428735583664634
BCL2A1,-12.628715194494797,-12.653706423016896,-13.891658187369412,-12.072515885087578,-13.627409648640722,-12.968665481090653,-13.907881552612803,-12.784570829020614
C5orf56,-13.09820047779602,-13.83846646562215,-14.494230087683947,-14.37106680799612,-13.703633949262212,-14.340531146227926,-15.935895928782399,-13.841203723331345
APEH,-14.405599798930798,-15.026326480999169,-13.91180085370831,-14.012906395949422,-13.840370286053949,-14.038704257397072,-13.648319338685814,-14.32817161709735
ACP1,-14.371316323330436,-14.741169264267233,-14.033418559767954,-14.3163472634589,-13.5481051688964,-14.770771052150439,-14.320608891204445,-13.47180430555652
RPA1,-14.149327283805897,-15.694875611993297,-14.250304504797858,-14.132205324321767,-14.213828681581393,-14.650599085905226,-14.012131514609486,-13.964402788129018
STX10,-13.839065250121907,-13.668541464179835,-13.945144623291386,-13.640573347624816,-13.642041569607972,-13.107484332426813,-13.448449933975507,-14.145907308466214
FAR2,-13.394081214462531,-12.689191973489717,-13.973973276350604,-14.009475490549146,-14.016001405841477,-13.326984614389975,-13.274047985446703,-13.780873189130023
DCAF5,-14.211148868905216,-14.606519737572452,-14.231195681850153,-14.078494737577,-13.813621987228347,-14.04793458345061,-14.341534730058994,-13.773506219721812
MLX,-13.764869459281867,-13.988606815050009,-13.787961290740656,-14.197070764174988,-14.222598891209126,-13.592718169824726,-13.6167994246782,-14.324578352373342
CDC123,-14.365680788661003,-14.328093281321676,-13.762589501032345,-14.102661048707752,-14.390326336947194,-13.722676763949393,-13.104495532758145,-14.177968517698512
STYX,-14.324101684909603,-15.035912529828366,-13.363645977873801,-14.116127116308192,-13.734660844882834,-15.349633353335177,-14.0808442646935,-13.953262230523817
CYP1B1,-15.587136090743398,-13.002636374954067,-12.875496850307545,-11.810028510350795,-12.76077010496261,-12.264858597529718,-13.379502580258015,-13.704167015647895
PLIN3,-13.862684250348464,-13.846878705438348,-14.256730773957289,-13.71313144330061,-14.375579751578007,-12.444570110777665,-12.812281661924127,-13.761310922751504
