,Mean Diff,Initial p-val,Adjusted p-values
IMPAD1,0.3289451484246122,0.00045459146929984693,0.03462999482872871
KRT23,-1.1209862636248111,0.00048400626307145827,0.03462999482872871
CLEC7A,-0.632625245631889,0.0004902453185472249,0.0346771038871141
PDSS1,0.3122813759904872,0.0004924128923263129,0.0346771038871141
LRRC8C,0.49314820974185203,0.0005011259496486295,0.035055430597753796
IKBKG,-0.41071288783354554,0.0005190468968257952,0.03583130979205966
CKAP2L,1.0313021922020802,0.0005171747081118991,0.03583130979205966
NUCKS1,0.4947596172009163,0.0005226627138184276,0.03584509709867164
DHX34,-0.5256805443564403,0.0005268544110646663,0.035897943735724316
EIF2AK4,0.3659454924711909,0.0005628491325155233,0.03789676927418726
CBLB,0.5179621205023253,0.0005634133238133244,0.03789676927418726
PDS5A,0.3982647435327884,0.0005717312110476888,0.038211309538365594
CPQ,-0.6589027272222783,0.0005848902797191826,0.03884337788033787
TRMT6,0.4527425987443401,0.0005908592769193545,0.038992996180596144
CARD19,-0.4933462407728175,0.0006146066695357213,0.04030667364648952
EGLN1,-0.6825043135494919,0.0006305334649406039,0.04034260760744973
SLC16A3,-0.5873740103105085,0.0006288669943858978,0.04034260760744973
PLAG1,0.6816689127259785,0.0006225099510046118,0.04034260760744973
B3GNT8,-0.7634035733056415,0.0006261473886405777,0.04034260760744973
HMMR,0.9997547889403045,0.000640391946555721,0.0407250466376314
KNL1,0.9244293102761194,0.000646943503168332,0.040893844450272936
RRM2,1.2158703221986862,0.0006595389792343932,0.041438168003484314
EIF5B,0.6260955581212784,0.0006634529900491152,0.041438168003484314
ST3GAL4,-0.7341797185821779,0.0006729086710975479,0.041780063229743016
LIMA1,0.6873420906854903,0.0006987019264725573,0.04290599299574149
MCM7,0.6465398804737976,0.0007019791416090001,0.04290599299574149
RFC4,0.541977254983566,0.000704054370844108,0.04290599299574149
BRCA1,0.5110386044828203,0.0007073989124428933,0.04290599299574149
IPO7,0.4644629909618665,0.0007174943806562428,0.04293717213342989
NCAPG,1.066014768695883,0.0007182270610148535,0.04293717213342989
FBXO45,0.3791993462263292,0.0007201889159900562,0.04293717213342989
MRPL19,0.4393147203036669,0.0007335077264789759,0.04335726261285225
CLSPN,1.015316973623765,0.000748064224838271,0.04335726261285225
MXD3,-0.6922136871529645,0.0007375652450474901,0.04335726261285225
C12orf66,0.34096698766840206,0.0007489788704236483,0.04335726261285225
GRAMD3,0.4100745345259398,0.0007488766941826228,0.04335726261285225
MPPE1,-0.38331415241837696,0.0007520272367806261,0.04335726261285225
